year,single_r,single_bs,hoh_r,hoh_bs,mfj_r,mfj_bs,mfs_r,mfs_bs
1976,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1976,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1977,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1977,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1978,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1978,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1979,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1979,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1980,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1980,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1981,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1981,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1982,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1982,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1983,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1983,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1983,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1984,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1984,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1984,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1985,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1985,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1985,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1986,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1986,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1986,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1987,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1987,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1987,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1988,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1988,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1988,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1989,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1989,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1989,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1990,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1990,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1990,0.035,50000.0,0.035,50000,0.035,50000,0.035,50000.0
1991,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1991,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1991,0.05,35000.0,0.035,50000,0.035,50000,0.05,35000.0
1991,0.065,40000.0,0.05,70000,0.05,70000,0.065,40000.0
1991,0.07,75000.0,0.065,80000,0.065,80000,0.07,75000.0
1991,,,0.07,150000,0.07,150000,,
1992,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1992,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1992,0.05,35000.0,0.035,50000,0.035,50000,0.05,35000.0
1992,0.065,40000.0,0.05,70000,0.05,70000,0.065,40000.0
1992,0.07,75000.0,0.065,80000,0.065,80000,0.07,75000.0
1992,,,0.07,150000,0.07,150000,,
1993,0.02,0.0,0.02,0,0.02,0,0.02,0.0
1993,0.025,20000.0,0.025,20000,0.025,20000,0.025,20000.0
1993,0.05,35000.0,0.035,50000,0.035,50000,0.05,35000.0
1993,0.065,40000.0,0.05,70000,0.05,70000,0.065,40000.0
1993,0.07,75000.0,0.065,80000,0.065,80000,0.07,75000.0
1993,,,0.07,150000,0.07,150000,,
1996,0.014,0.0,0.014,0,0.014,0,0.014,0.0
1996,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
1996,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
1996,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
1996,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
1996,,,0.0637,150000,0.0637,150000,,
1997,0.014,0.0,0.014,0,0.014,0,0.014,0.0
1997,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
1997,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
1997,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
1997,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
1997,,,0.0637,150000,0.0637,150000,,
1998,0.014,0.0,0.014,0,0.014,0,0.014,0.0
1998,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
1998,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
1998,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
1998,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
1998,,,0.0637,150000,0.0637,150000,,
1999,0.014,0.0,0.014,0,0.014,0,0.014,0.0
1999,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
1999,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
1999,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
1999,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
1999,,,0.0637,150000,0.0637,150000,,
2000,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2000,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2000,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2000,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2000,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2000,,,0.0637,150000,0.0637,150000,,
2001,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2001,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2001,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2001,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2001,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2001,,,0.0637,150000,0.0637,150000,,
2002,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2002,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2002,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2002,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2002,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2002,,,0.0637,150000,0.0637,150000,,
2003,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2003,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2003,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2003,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2003,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2003,,,0.0637,150000,0.0637,150000,,
2004,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2004,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2004,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2004,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2004,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2004,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2004,,,0.0897,500000,0.0897,500000,,
2005,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2005,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2005,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2005,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2005,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2005,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2005,,,0.0897,500000,0.0897,500000,,
2006,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2006,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2006,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2006,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2006,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2006,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2006,,,0.0897,500000,0.0897,500000,,
2007,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2007,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2007,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2007,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2007,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2007,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2007,,,0.0897,500000,0.0897,500000,,
2008,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2008,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2008,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2008,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2008,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2008,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2008,,,0.0897,500000,0.0897,500000,,
2009,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2009,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2009,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2009,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2009,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2009,0.08,400000.0,0.0637,150000,0.0637,150000,0.08,400000.0
2009,0.1025,500000.0,0.08,400000,0.08,400000,0.1025,500000.0
2009,0.1075,1000000.0,0.1025,500000,0.1025,500000,0.1075,1000000.0
2009,,,0.1075,1000000,0.1075,1000000,,
2010,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2010,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2010,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2010,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2010,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2010,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2010,,,0.0897,500000,0.0897,500000,,
2011,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2011,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2011,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2011,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2011,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2011,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2011,,,0.0897,500000,0.0897,500000,,
2012,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2012,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2012,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2012,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2012,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2012,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2012,,,0.0897,500000,0.0897,500000,,
2013,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2013,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2013,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2013,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2013,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2013,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2013,,,0.0897,500000,0.0897,500000,,
2014,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2014,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2014,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2014,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2014,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2014,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2014,,,0.0897,500000,0.0897,500000,,
2015,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2015,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2015,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2015,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2015,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2015,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2015,,,0.0897,500000,0.0897,500000,,
2016,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2016,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2016,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2016,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2016,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2016,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
2016,,,0.0897,500000,0.0897,500000,,
2017,0.014,0.0,0.014,0,0.014,0,0.014,0.0
2017,0.0175,20000.0,0.0175,20000,0.0175,20000,0.0175,20000.0
2017,0.035,35000.0,0.0245,50000,0.0245,50000,0.035,35000.0
2017,0.05525,40000.0,0.035,70000,0.035,70000,0.05525,40000.0
2017,0.0637,75000.0,0.05525,80000,0.05525,80000,0.0637,75000.0
2017,0.0897,500000.0,0.0637,150000,0.0637,150000,0.0897,500000.0
